timestamp;x;y;theta
1677142637379;-0.6646000000000077;0.5912;0
1677142637395;-0.6546000000000088;0.5912;0
1677142637421;-0.6446000000000099;0.5912;0
1677142637444;-0.634600000000011;0.5912;0
1677142637463;-0.6246000000000121;0.5912;0
1677142637474;-0.6146000000000132;0.5912;0
1677142637495;-0.6046000000000143;0.5912;0
1677142637515;-0.5946000000000154;0.5912;0
1677142637540;-0.5846000000000166;0.5912;0
1677142637562;-0.5746000000000177;0.5912;0
1677142637578;-0.5646000000000188;0.5912;0
1677142637596;-0.5546000000000199;0.5912;0
1677142637621;-0.544600000000021;0.5912;0
1677142637645;-0.5346000000000221;0.5912;0
1677142637662;-0.5246000000000232;0.5912;0
1677142637678;-0.5146000000000243;0.5912;0
1677142637696;-0.5046000000000254;0.5912;0
1677142637715;-0.49460000000002585;0.5912;0
1677142637738;-0.48460000000002584;0.5912;0
1677142637756;-0.47460000000002583;0.5912;0
1677142637778;-0.4646000000000258;0.5912;0
1677142637796;-0.4546000000000258;0.5912;0
1677142637822;-0.4446000000000258;0.5912;0
1677142637843;-0.4346000000000258;0.5912;0
1677142637862;-0.4246000000000258;0.5912;0
1677142637880;-0.4146000000000258;0.5912;0
1677142637897;-0.4046000000000258;0.5912;0
1677142637916;-0.39460000000002576;0.5912;0
1677142637941;-0.38460000000002575;0.5912;0
1677142637954;-0.37460000000002575;0.5912;0
1677142637978;-0.36460000000002574;0.5912;0
1677142637997;-0.35460000000002573;0.5912;0
1677142638021;-0.3446000000000257;0.5912;0
1677142638044;-0.3346000000000257;0.5912;0
1677142638061;-0.3246000000000257;0.5912;0
1677142638079;-0.3146000000000257;0.5912;0
1677142638097;-0.3046000000000257;0.5912;0
1677142638114;-0.2946000000000257;0.5912;0
1677142638140;-0.28460000000002567;0.5912;0
1677142638161;-0.27460000000002566;0.5912;0
1677142638179;-0.26460000000002565;0.5912;0
1677142638196;-0.25460000000002564;0.5912;0
1677142638214;-0.24460000000002563;0.5912;0
1677142638245;-0.23460000000002562;0.5912;0
1677142638264;-0.2246000000000256;0.5912;0
1677142638280;-0.2146000000000256;0.5912;0
1677142638296;-0.2046000000000256;0.5912;0
1677142638315;-0.19460000000002559;0.5912;0
1677142638340;-0.18460000000002558;0.5912;0
1677142638357;-0.17460000000002557;0.5912;0
1677142638380;-0.16460000000002556;0.5912;0
1677142638396;-0.15460000000002555;0.5912;0
1677142638421;-0.14460000000002554;0.5912;0
1677142638445;-0.13460000000002553;0.5912;0
1677142638462;-0.12460000000002552;0.5912;0
1677142638479;-0.11460000000002551;0.5912;0
1677142638497;-0.1046000000000255;0.5912;0
1677142638524;-0.0946000000000255;0.5912;0
1677142638540;-0.08460000000002549;0.5912;0
1677142638559;-0.07460000000002548;0.5912;0
1677142638576;-0.06460000000002547;0.5912;0
1677142638606;-0.05460000000002546;0.5912;0
1677142638624;-0.04460000000002545;0.5912;0
1677142638641;-0.034600000000025444;0.5912;0
1677142638658;-0.024600000000025435;0.5912;0
1677142638676;-0.014600000000025426;0.5912;0
1677142638700;-0.004600000000025417;0.5912;0
1677142638718;0.005399999999974585;0.5912;0
1677142638740;0.015399999999974594;0.5912;0
1677142638756;0.025399999999974603;0.5912;0
1677142638774;0.03539999999997461;0.5912;0
1677142638801;0.04539999999997462;0.5912;0
1677142638818;0.05539999999997463;0.5912;0
1677142638840;0.06539999999997463;0.5912;0
1677142638857;0.07539999999997464;0.5912;0
1677142638874;0.08539999999997465;0.5912;0
1677142638903;0.09539999999997466;0.5912;0
1677142638923;0.10539999999997467;0.5912;0
1677142638940;0.11539999999997468;0.5912;0
1677142638957;0.12539999999997467;0.5912;0
1677142638974;0.13539999999997468;0.5912;0
1677142639013;0.1453999999999747;0.5912;0
1677142639021;0.1553999999999747;0.5912;0
1677142639040;0.1653999999999747;0.5912;0
1677142639058;0.17539999999997472;0.5912;0
1677142639075;0.18539999999997472;0.5912;0
1677142639101;0.19539999999997473;0.5912;0
1677142639121;0.20539999999997474;0.5912;0
1677142639140;0.21539999999997475;0.5912;0
1677142639156;0.22539999999997476;0.5912;0
1677142639174;0.23539999999997477;0.5912;0
